policy,n_packets,latency_ms,energy_uj,latency_saving_vs_tier3_pct,energy_saving_vs_tier3_pct,tier1_count,tier2_count,tier3_count,underprotection_count,underprotection_rate,overprotection_count,overprotection_rate,seed
always_tier3,1800,335.45,12814.19,0.0,0.0,0,0,1800,0,0.0,601,1.0,0
always_tier1,1800,25.53,79.14,92.39,99.38,1800,0,0,999,1.0,0,0.0,0
always_tier2,1800,20.25,253.11,93.96,98.02,0,1800,0,0,0.0,0,0.0,0
rule_based,1800,191.5,7112.03,42.91,44.5,601,0,1199,0,0.0,0,0.0,0
classifier_only,1800,155.69,5689.95,53.59,55.6,801,0,999,0,0.0,0,0.0,0
threat_only,1800,80.28,2599.26,76.07,79.72,1350,0,450,749,0.7497,0,0.0,0
full_adaptive_rl,1800,163.0,5922.59,51.41,53.78,603,194,1003,15,0.015,11,0.0183,0
full_adaptive_safe,1800,164.54,5960.09,50.95,53.49,588,212,1000,0,0.0,9,0.015,0
always_tier3,1800,307.43,11743.92,0.0,0.0,0,0,1800,0,0.0,601,1.0,1
always_tier1,1800,24.11,74.74,92.16,99.36,1800,0,0,999,1.0,0,0.0,1
always_tier2,1800,19.12,239.07,93.78,97.96,0,1800,0,0,0.0,0,0.0,1
rule_based,1800,182.04,6763.99,40.79,42.4,601,0,1199,0,0.0,0,0.0,1
classifier_only,1800,148.84,5443.13,51.59,53.65,801,0,999,0,0.0,0,0.0,1
threat_only,1800,76.62,2481.25,75.08,78.87,1350,0,450,749,0.7497,0,0.0,1
full_adaptive_rl,1800,153.08,5556.45,50.21,52.69,594,220,986,7,0.007,7,0.0116,1
full_adaptive_safe,1800,163.83,5969.14,46.71,49.17,590,163,1047,0,0.0,12,0.02,1
always_tier3,1800,366.86,14014.18,0.0,0.0,0,0,1800,0,0.0,601,1.0,2
always_tier1,1800,28.69,88.93,92.18,99.37,1800,0,0,999,1.0,0,0.0,2
always_tier2,1800,22.25,278.1,93.94,98.02,0,1800,0,0,0.0,0,0.0,2
rule_based,1800,197.89,7325.89,46.06,47.73,601,0,1199,0,0.0,0,0.0,2
classifier_only,1800,158.79,5771.25,56.72,58.82,801,0,999,0,0.0,0,0.0,2
threat_only,1800,86.23,2791.42,76.5,80.08,1350,0,450,749,0.7497,0,0.0,2
full_adaptive_rl,1800,163.37,5879.85,55.47,58.04,592,226,982,10,0.01,11,0.0183,2
full_adaptive_safe,1800,172.42,6207.91,53.0,55.7,593,187,1020,0,0.0,4,0.0067,2
