model,heldout_file,heldout_label,train_rows,test_rows,accuracy,macro_f1,precision_sensitive,recall_sensitive
knn,Model_Experimenting\data\raw\sensitive\diabetes.csv,1,400,50,1.0,1.0,1.0,1.0
logistic_regression,Model_Experimenting\data\raw\sensitive\diabetes.csv,1,400,50,1.0,1.0,1.0,1.0
random_forest,Model_Experimenting\data\raw\sensitive\diabetes.csv,1,400,50,1.0,1.0,1.0,1.0
random_forest_constrained,Model_Experimenting\data\raw\sensitive\diabetes.csv,1,400,50,1.0,1.0,1.0,1.0
knn,Model_Experimenting\data\raw\sensitive\employee_records.csv,1,400,50,0.0,0.0,0.0,0.0
logistic_regression,Model_Experimenting\data\raw\sensitive\employee_records.csv,1,400,50,1.0,1.0,1.0,1.0
random_forest,Model_Experimenting\data\raw\sensitive\employee_records.csv,1,400,50,1.0,1.0,1.0,1.0
random_forest_constrained,Model_Experimenting\data\raw\sensitive\employee_records.csv,1,400,50,1.0,1.0,1.0,1.0
knn,Model_Experimenting\data\raw\sensitive\FraudShield_Banking_Data.csv,1,400,50,1.0,1.0,1.0,1.0
logistic_regression,Model_Experimenting\data\raw\sensitive\FraudShield_Banking_Data.csv,1,400,50,1.0,1.0,1.0,1.0
random_forest,Model_Experimenting\data\raw\sensitive\FraudShield_Banking_Data.csv,1,400,50,1.0,1.0,1.0,1.0
random_forest_constrained,Model_Experimenting\data\raw\sensitive\FraudShield_Banking_Data.csv,1,400,50,1.0,1.0,1.0,1.0
knn,Model_Experimenting\data\raw\sensitive\pii_masking_sample.csv,1,400,50,1.0,1.0,1.0,1.0
logistic_regression,Model_Experimenting\data\raw\sensitive\pii_masking_sample.csv,1,400,50,0.98,0.4949,1.0,0.98
random_forest,Model_Experimenting\data\raw\sensitive\pii_masking_sample.csv,1,400,50,1.0,1.0,1.0,1.0
random_forest_constrained,Model_Experimenting\data\raw\sensitive\pii_masking_sample.csv,1,400,50,1.0,1.0,1.0,1.0
knn,Model_Experimenting\data\raw\sensitive\pii_masking_sample_b.csv,1,400,50,0.9,0.4737,1.0,0.9
logistic_regression,Model_Experimenting\data\raw\sensitive\pii_masking_sample_b.csv,1,400,50,0.94,0.4845,1.0,0.94
random_forest,Model_Experimenting\data\raw\sensitive\pii_masking_sample_b.csv,1,400,50,1.0,1.0,1.0,1.0
random_forest_constrained,Model_Experimenting\data\raw\sensitive\pii_masking_sample_b.csv,1,400,50,0.98,0.4949,1.0,0.98
knn,Model_Experimenting\data\raw\normal\Airlines.csv,0,400,50,0.0,0.0,0.0,0.0
logistic_regression,Model_Experimenting\data\raw\normal\Airlines.csv,0,400,50,0.28,0.2188,0.0,0.0
random_forest,Model_Experimenting\data\raw\normal\Airlines.csv,0,400,50,0.0,0.0,0.0,0.0
random_forest_constrained,Model_Experimenting\data\raw\normal\Airlines.csv,0,400,50,0.0,0.0,0.0,0.0
knn,Model_Experimenting\data\raw\normal\HomeC.csv,0,400,50,1.0,1.0,0.0,0.0
logistic_regression,Model_Experimenting\data\raw\normal\HomeC.csv,0,400,50,1.0,1.0,0.0,0.0
random_forest,Model_Experimenting\data\raw\normal\HomeC.csv,0,400,50,1.0,1.0,0.0,0.0
random_forest_constrained,Model_Experimenting\data\raw\normal\HomeC.csv,0,400,50,1.0,1.0,0.0,0.0
knn,Model_Experimenting\data\raw\normal\weatherHistory.csv,0,400,50,1.0,1.0,0.0,0.0
logistic_regression,Model_Experimenting\data\raw\normal\weatherHistory.csv,0,400,50,1.0,1.0,0.0,0.0
random_forest,Model_Experimenting\data\raw\normal\weatherHistory.csv,0,400,50,1.0,1.0,0.0,0.0
random_forest_constrained,Model_Experimenting\data\raw\normal\weatherHistory.csv,0,400,50,1.0,1.0,0.0,0.0
knn,Model_Experimenting\data\raw\normal\world_population.csv,0,400,50,0.06,0.0566,0.0,0.0
logistic_regression,Model_Experimenting\data\raw\normal\world_population.csv,0,400,50,0.94,0.4845,0.0,0.0
random_forest,Model_Experimenting\data\raw\normal\world_population.csv,0,400,50,0.5,0.3333,0.0,0.0
random_forest_constrained,Model_Experimenting\data\raw\normal\world_population.csv,0,400,50,1.0,1.0,0.0,0.0
