heldout_sensitive,heldout_normal,auc,accuracy,tpr_at_0.5,fpr_at_0.5
diabetes.csv,Airlines.csv,1.0,1.0,1.0,0.0
diabetes.csv,HomeC.csv,1.0,1.0,1.0,0.0
diabetes.csv,weatherHistory.csv,1.0,1.0,1.0,0.0
diabetes.csv,world_population.csv,1.0,1.0,1.0,0.0
employee_records.csv,Airlines.csv,1.0,1.0,1.0,0.0
employee_records.csv,HomeC.csv,1.0,1.0,1.0,0.0
employee_records.csv,weatherHistory.csv,1.0,1.0,1.0,0.0
employee_records.csv,world_population.csv,1.0,0.99,1.0,0.02
FraudShield_Banking_Data.csv,Airlines.csv,1.0,0.88,1.0,0.24
FraudShield_Banking_Data.csv,HomeC.csv,1.0,1.0,1.0,0.0
FraudShield_Banking_Data.csv,weatherHistory.csv,1.0,1.0,1.0,0.0
FraudShield_Banking_Data.csv,world_population.csv,1.0,0.99,1.0,0.02
pii_masking_sample.csv,Airlines.csv,1.0,0.55,1.0,0.9
pii_masking_sample.csv,HomeC.csv,1.0,1.0,1.0,0.0
pii_masking_sample.csv,weatherHistory.csv,1.0,0.98,0.96,0.0
pii_masking_sample.csv,world_population.csv,0.9996,0.98,1.0,0.04
pii_masking_sample_b.csv,Airlines.csv,0.7596,0.45,0.9,1.0
pii_masking_sample_b.csv,HomeC.csv,1.0,0.98,0.96,0.0
pii_masking_sample_b.csv,weatherHistory.csv,1.0,0.97,0.94,0.0
pii_masking_sample_b.csv,world_population.csv,0.992,0.98,0.96,0.0
