packet_id,phase,sensitivity,threat_state,bandwidth_kbps,tier_selected,cipher_name,latency_ms,energy_uj
1,Benign,1,0,68.7,2,Tier 3 (ECDH+AES),5.2212,199.4498
2,Benign,1,0,143.6,2,Tier 3 (ECDH+AES),0.2493,9.5233
3,Benign,1,0,115.2,2,Tier 3 (ECDH+AES),0.2216,8.4651
4,Benign,1,0,97.8,2,Tier 3 (ECDH+AES),0.2148,8.2054
5,Benign,1,0,40.3,2,Tier 3 (ECDH+AES),0.2142,8.1824
6,Benign,1,0,40.3,2,Tier 3 (ECDH+AES),0.1868,7.1358
7,Benign,1,0,27.6,2,Tier 3 (ECDH+AES),0.1865,7.1243
8,Benign,1,0,132.6,2,Tier 3 (ECDH+AES),0.2017,7.7049
9,Benign,1,0,98.1,2,Tier 3 (ECDH+AES),0.2066,7.8921
10,Benign,1,0,112.0,2,Tier 3 (ECDH+AES),0.1978,7.556
11,Benign,1,0,22.7,2,Tier 3 (ECDH+AES),0.1909,7.2924
12,Benign,1,0,146.1,2,Tier 3 (ECDH+AES),0.1893,7.2313
13,Benign,1,0,128.2,2,Tier 3 (ECDH+AES),0.187,7.1434
14,Benign,1,0,47.6,2,Tier 3 (ECDH+AES),0.1861,7.109
15,Benign,1,0,43.6,2,Tier 3 (ECDH+AES),0.1853,7.0785
16,Benign,1,0,43.8,2,Tier 3 (ECDH+AES),0.1855,7.0861
17,Benign,1,0,59.6,2,Tier 3 (ECDH+AES),0.1846,7.0517
18,Benign,1,0,88.2,2,Tier 3 (ECDH+AES),0.1843,7.0403
19,Benign,1,0,76.2,2,Tier 3 (ECDH+AES),0.1843,7.0403
20,Benign,1,0,57.9,2,Tier 3 (ECDH+AES),0.1951,7.4528
21,Benign,1,0,99.5,2,Tier 3 (ECDH+AES),0.1849,7.0632
22,Benign,1,0,38.1,2,Tier 3 (ECDH+AES),0.1843,7.0403
23,Benign,1,0,58.0,2,Tier 3 (ECDH+AES),0.1846,7.0517
24,Benign,1,0,67.6,2,Tier 3 (ECDH+AES),0.2883,11.0131
25,Benign,1,0,79.3,2,Tier 3 (ECDH+AES),0.2258,8.6256
26,Benign,1,0,122.1,2,Tier 3 (ECDH+AES),0.2045,7.8119
27,Benign,1,0,46.0,2,Tier 3 (ECDH+AES),0.1783,6.8111
28,Benign,1,0,86.9,2,Tier 3 (ECDH+AES),0.1822,6.96
29,Benign,1,0,97.0,2,Tier 3 (ECDH+AES),0.1692,6.4634
30,Benign,1,0,26.0,2,Tier 3 (ECDH+AES),0.1679,6.4138
31,Benign,1,0,99.0,2,Tier 3 (ECDH+AES),0.1658,6.3336
32,Benign,1,0,42.2,2,Tier 3 (ECDH+AES),0.1656,6.3259
33,Benign,1,0,28.5,2,Tier 3 (ECDH+AES),0.165,6.303
34,Benign,1,0,143.4,2,Tier 3 (ECDH+AES),0.1643,6.2763
35,Benign,1,0,145.5,2,Tier 3 (ECDH+AES),0.164,6.2648
36,Benign,1,0,125.1,2,Tier 3 (ECDH+AES),0.1643,6.2763
37,Benign,1,0,59.6,2,Tier 3 (ECDH+AES),0.1647,6.2915
38,Benign,1,0,32.7,2,Tier 3 (ECDH+AES),0.1748,6.6774
39,Benign,1,0,109.0,2,Tier 3 (ECDH+AES),0.1644,6.2801
40,Benign,1,0,77.2,2,Tier 3 (ECDH+AES),0.1642,6.2724
41,Benign,1,0,35.9,2,Tier 3 (ECDH+AES),0.164,6.2648
42,Benign,1,0,84.4,2,Tier 3 (ECDH+AES),0.1639,6.261
43,Benign,1,0,24.5,2,Tier 3 (ECDH+AES),0.1642,6.2724
44,Benign,1,0,138.2,2,Tier 3 (ECDH+AES),0.1643,6.2763
45,Benign,1,0,53.6,2,Tier 3 (ECDH+AES),0.1635,6.2457
46,Benign,1,0,106.1,2,Tier 3 (ECDH+AES),0.1642,6.2724
47,Benign,1,0,60.5,2,Tier 3 (ECDH+AES),0.1657,6.3297
48,Benign,1,0,87.6,2,Tier 3 (ECDH+AES),0.1855,7.0861
49,Benign,1,0,91.1,2,Tier 3 (ECDH+AES),0.2774,10.5967
50,Benign,1,0,44.0,2,Tier 3 (ECDH+AES),0.3003,11.4715
51,Benign,1,0,146.0,2,Tier 3 (ECDH+AES),0.2654,10.1383
52,Benign,1,0,120.8,2,Tier 3 (ECDH+AES),0.2574,9.8327
53,Benign,1,0,142.1,2,Tier 3 (ECDH+AES),0.2496,9.5347
54,Benign,1,0,136.3,2,Tier 3 (ECDH+AES),0.2056,7.8539
55,Benign,1,0,97.7,2,Tier 3 (ECDH+AES),0.1628,6.219
56,Benign,1,0,139.8,2,Tier 3 (ECDH+AES),0.1516,5.7911
57,Benign,1,0,31.5,2,Tier 3 (ECDH+AES),0.1492,5.6994
58,Benign,1,0,45.5,2,Tier 3 (ECDH+AES),0.1496,5.7147
59,Benign,1,0,25.9,2,Tier 3 (ECDH+AES),0.1489,5.688
60,Benign,1,0,62.3,2,Tier 3 (ECDH+AES),0.1487,5.6803
61,Benign,1,0,70.5,2,Tier 3 (ECDH+AES),0.1492,5.6994
62,Benign,1,0,55.3,2,Tier 3 (ECDH+AES),0.149,5.6918
63,Benign,1,0,127.7,2,Tier 3 (ECDH+AES),0.1485,5.6727
64,Benign,1,0,66.4,2,Tier 3 (ECDH+AES),0.1483,5.6651
65,Benign,1,0,56.5,2,Tier 3 (ECDH+AES),0.1493,5.7033
66,Benign,1,0,90.6,2,Tier 3 (ECDH+AES),0.1497,5.7185
67,Benign,1,0,38.3,2,Tier 3 (ECDH+AES),0.1643,6.2763
