model,heldout_file,heldout_label,train_rows,test_rows,accuracy,macro_f1,precision_sensitive,recall_sensitive
knn,data\raw\sensitive\diabetes.csv,1,1600,200,1.0,1.0,1.0,1.0
logistic_regression,data\raw\sensitive\diabetes.csv,1,1600,200,1.0,1.0,1.0,1.0
random_forest,data\raw\sensitive\diabetes.csv,1,1600,200,1.0,1.0,1.0,1.0
random_forest_constrained,data\raw\sensitive\diabetes.csv,1,1600,200,1.0,1.0,1.0,1.0
knn,data\raw\sensitive\employee_records.csv,1,1600,200,0.25,0.2,1.0,0.25
logistic_regression,data\raw\sensitive\employee_records.csv,1,1600,200,1.0,1.0,1.0,1.0
random_forest,data\raw\sensitive\employee_records.csv,1,1600,200,1.0,1.0,1.0,1.0
random_forest_constrained,data\raw\sensitive\employee_records.csv,1,1600,200,1.0,1.0,1.0,1.0
knn,data\raw\sensitive\FraudShield_Banking_Data.csv,1,1600,200,1.0,1.0,1.0,1.0
logistic_regression,data\raw\sensitive\FraudShield_Banking_Data.csv,1,1600,200,1.0,1.0,1.0,1.0
random_forest,data\raw\sensitive\FraudShield_Banking_Data.csv,1,1600,200,1.0,1.0,1.0,1.0
random_forest_constrained,data\raw\sensitive\FraudShield_Banking_Data.csv,1,1600,200,1.0,1.0,1.0,1.0
knn,data\raw\sensitive\pii_masking_sample.csv,1,1600,200,1.0,1.0,1.0,1.0
logistic_regression,data\raw\sensitive\pii_masking_sample.csv,1,1600,200,1.0,1.0,1.0,1.0
random_forest,data\raw\sensitive\pii_masking_sample.csv,1,1600,200,1.0,1.0,1.0,1.0
random_forest_constrained,data\raw\sensitive\pii_masking_sample.csv,1,1600,200,1.0,1.0,1.0,1.0
knn,data\raw\sensitive\pii_masking_sample_b.csv,1,1600,200,0.995,0.4987,1.0,0.995
logistic_regression,data\raw\sensitive\pii_masking_sample_b.csv,1,1600,200,0.985,0.4962,1.0,0.985
random_forest,data\raw\sensitive\pii_masking_sample_b.csv,1,1600,200,1.0,1.0,1.0,1.0
random_forest_constrained,data\raw\sensitive\pii_masking_sample_b.csv,1,1600,200,1.0,1.0,1.0,1.0
knn,data\raw\normal\Airlines.csv,0,1600,200,0.0,0.0,0.0,0.0
logistic_regression,data\raw\normal\Airlines.csv,0,1600,200,0.235,0.1903,0.0,0.0
random_forest,data\raw\normal\Airlines.csv,0,1600,200,0.0,0.0,0.0,0.0
random_forest_constrained,data\raw\normal\Airlines.csv,0,1600,200,0.0,0.0,0.0,0.0
knn,data\raw\normal\HomeC.csv,0,1600,200,1.0,1.0,0.0,0.0
logistic_regression,data\raw\normal\HomeC.csv,0,1600,200,1.0,1.0,0.0,0.0
random_forest,data\raw\normal\HomeC.csv,0,1600,200,1.0,1.0,0.0,0.0
random_forest_constrained,data\raw\normal\HomeC.csv,0,1600,200,1.0,1.0,0.0,0.0
knn,data\raw\normal\weatherHistory.csv,0,1600,200,1.0,1.0,0.0,0.0
logistic_regression,data\raw\normal\weatherHistory.csv,0,1600,200,1.0,1.0,0.0,0.0
random_forest,data\raw\normal\weatherHistory.csv,0,1600,200,1.0,1.0,0.0,0.0
random_forest_constrained,data\raw\normal\weatherHistory.csv,0,1600,200,1.0,1.0,0.0,0.0
knn,data\raw\normal\world_population.csv,0,1600,200,0.105,0.095,0.0,0.0
logistic_regression,data\raw\normal\world_population.csv,0,1600,200,0.98,0.4949,0.0,0.0
random_forest,data\raw\normal\world_population.csv,0,1600,200,0.0,0.0,0.0,0.0
random_forest_constrained,data\raw\normal\world_population.csv,0,1600,200,0.0,0.0,0.0,0.0
